"Enabled","Aktiviert"
"Disable the module temporarily.","Modul vorübergehend deaktivieren."
"Replace Admin Login Logo","Admin Login Logo ersetzen"
"Replace the Magento® logo on the admin login page. Default: No","Das Magento® Logo auf der Administrator Login Seite ersetzen. Standard: Nein"
"Admin Login Logo","Admin Login Logo"
"Upload a SVG, PNG or GIF file. Recommended format 288x100px.","Eine SVG, PNG oder GIF Datei hochladen. Empfohlenes Format 288x100px."
"Replace Admin Menu Logo","Replace Admin Menu Logo"
"Replace the Magento® logo on top of the admin navigation. Default: No","Das Magento® Logo oberhalb der Navigation ersetzen. Standard: Nein"
"Admin Menu Logo","Admin Navigation Logo"
"Upload a SVG, PNG or GIF file. Recommended format 35x41px.","Eine SVG, PNG oder GIF Datei hochladen. Empfohlenes Format 35x41px."
"Enable Additional Text","Zusätzlichen Text aktivieren"
"Add additional text underneath the <strong>Sign In</strong> button on the admin login page. Default: No","Zusätzlichen Text unterhalb des <strong>Sign In</strong> Buttons der Administrator Login Seite darstellen. Standard: Nein"
"Additional Text","Zusätzlicher Text"
"HTML supported.","HTML wird unterstützt."
