"Enabled","Enabled"
"Disable the module temporarily.","Disable the module temporarily."
"Replace Admin Login Logo","Replace Admin Login Logo"
"Replace the Magento® logo on the admin login page. Default: No","Replace the Magento® logo on the admin login page. Default: No"
"Admin Login Logo","Admin Login Logo"
"Upload a SVG, PNG or GIF file. Recommended format 288x100px.","Upload a SVG, PNG or GIF file. Recommended format 288x100px."
"Replace Admin Menu Logo","Replace Admin Menu Logo"
"Replace the Magento® logo on top of the admin navigation. Default: No","Replace the Magento® logo on top of the admin navigation. Default: No"
"Admin Menu Logo","Admin Menu Logo"
"Upload a SVG, PNG or GIF file. Recommended format 35x41px.","Upload a SVG, PNG or GIF file. Recommended format 35x41px."
"Enable Additional Text","Enable Additional Text"
"Add additional text underneath the <strong>Sign In</strong> button on the admin login page. Default: No","Add additional text underneath the <strong>Sign In</strong> button on the admin login page. Default: No"
"Additional Text","Additional Text"
"HTML supported.","HTML supported."
